Species,Trait
cow,mortal
cow,mammal
cow,pettable
cow,diurnal
cow,eats_grass
cow,cleanable
cow,milkable
cow,more_product
chicken,mortal
chicken,eats_bird_feed
chicken,carriable
chicken,aquaphobic
chicken,diurnal
chicken,lays_egg
chicken,more_product
pig,mortal
pig,mammal
pig,pettable
pig,aquaphobic
pig,diurnal
pig,eats_slop
pig,cleanable
pig,finds_product
pig,more_product_chance
sheep,mortal
sheep,mammal
sheep,pettable
sheep,diurnal
sheep,eats_grass
sheep,cleanable
sheep,shearable
sheep,faster_product_reset
horse,mortal
horse,mammal
horse,pettable
horse,aquaphobic
horse,diurnal
horse,eats_grass
horse,cleanable
horse,pet
llama,mortal
llama,mammal
llama,pettable
llama,diurnal
llama,eats_grass
llama,cleanable
llama,pet
rabbit,mortal
rabbit,mammal
rabbit,pettable
rabbit,eats_rabbit_food
rabbit,carriable
rabbit,drops_product
cat,mortal
cat,mammal
cat,pettable
cat,aquaphobic
cat,eats_cat_food
cat,carriable
cat,pet
dog,mortal
dog,mammal
dog,pettable
dog,diurnal
dog,eats_dog_food
dog,cleanable
dog,pet
donkey,mortal
donkey,mammal
donkey,pettable
donkey,aquaphobic
donkey,diurnal
donkey,eats_grass
donkey,cleanable
donkey,pet
parrot,mortal
parrot,eats_bird_feed
parrot,carriable
parrot,aquaphobic
parrot,diurnal
parrot,pet
mooshroom,mortal
mooshroom,mammal
mooshroom,pettable
mooshroom,diurnal
mooshroom,eats_grass
mooshroom,cleanable
mooshroom,bowlable
mooshroom,more_product
